recipient,occasion,context,floor_usd,anchor_low_usd,anchor_high_usd,ceiling_usd,confidence,source_url,last_reviewed
partner,anniversary_year_15,crystal_traditional,100,200,400,800,high,https://idealgiftfor.com/anniversary/year-15/,2026-04-26
partner,anniversary_year_20,china_traditional,100,250,500,1000,high,https://idealgiftfor.com/anniversary/year-20/,2026-04-26
partner,anniversary_year_25,silver_traditional,200,400,800,1500,high,https://idealgiftfor.com/anniversary/year-25/,2026-04-26
partner,anniversary_year_30,pearl_traditional,250,500,1000,2000,high,https://idealgiftfor.com/anniversary/year-30/,2026-04-26
partner,anniversary_year_50,gold_traditional,500,1000,2500,5000,high,https://idealgiftfor.com/anniversary/year-50/,2026-04-26
partner,anniversary_year_60,diamond_traditional,1000,2500,5000,10000,high,https://idealgiftfor.com/anniversary/year-60/,2026-04-26
sibling,birthday,adult_to_adult,30,50,100,150,medium,https://whatgiftfor.com/q/,2026-04-26
sibling,birthday,under_18_to_under_18,15,25,40,60,medium,https://whatgiftfor.com/q/,2026-04-26
grandparent,birthday,adult_grandchild,40,60,100,150,medium,https://whatgiftfor.com/q/,2026-04-26
grandparent,birthday,grandchild_under_18,15,20,40,60,medium,https://whatgiftfor.com/q/,2026-04-26
in_law,birthday,daughter_or_son_in_law_to_parent_in_law,40,60,80,100,medium,https://whatgiftfor.com/q/what-to-gift-my-dad-on-his-birthday/,2026-04-26
friend_general,birthday,casual_friend,25,40,60,80,medium,https://whatgiftfor.com/q/,2026-04-26
child_of_friend,birthday,age_under_5,20,30,50,80,medium,https://whatgiftfor.com/q/,2026-04-26
child_of_friend,birthday,age_5_to_12,25,40,60,100,medium,https://whatgiftfor.com/q/,2026-04-26
child_of_friend,birthday,age_13_to_17,30,50,80,120,medium,https://whatgiftfor.com/q/,2026-04-26
own_child,birthday,parent_to_child_under_5,30,75,150,300,medium,https://whatgiftfor.com/q/,2026-04-26
own_child,birthday,parent_to_child_6_to_12,50,100,200,400,medium,https://whatgiftfor.com/q/,2026-04-26
own_child,birthday,parent_to_child_13_to_17,75,150,300,600,medium,https://whatgiftfor.com/q/,2026-04-26
own_child,birthday_milestone_18th_or_21st,parent_to_child_milestone,200,400,800,2000,medium,https://giftranker.com/rankings/top-18th-birthday-gifts/,2026-04-26
